CIE10,ANIO,ENFOQUE,CVE_ENT,CVE_MUN,SEXO,EDAD_INICIO,EDAD_FINAL,CONTEO,TASA_CRUDA,ASMR,ESCALA
C910,2000,Nacional,,,1,0,4,86,1.43053163712203,,3
C910,2000,Nacional,,,2,0,4,92,1.5817170019448241,,3
C910,2001,Nacional,,,1,0,4,86,1.4328626379567646,,3
C910,2001,Nacional,,,2,0,4,80,1.3783621267438435,,3
C910,2002,Nacional,,,1,0,4,95,1.5849819787549015,,3
C910,2002,Nacional,,,2,0,4,69,1.191110380716855,,3
C910,2003,Nacional,,,1,0,4,83,1.3892910765666766,,3
C910,2003,Nacional,,,2,0,4,95,1.6452444296353201,,3
C910,2004,Nacional,,,1,0,4,88,1.4819924445330646,,3
C910,2004,Nacional,,,2,0,4,86,1.4973325716669508,,3
C910,2005,Nacional,,,1,0,4,94,1.5951642764657268,,3
C910,2005,Nacional,,,2,0,4,82,1.4363288555489326,,3
C910,2006,Nacional,,,1,0,4,102,1.7417440903220673,,3
C910,2006,Nacional,,,2,0,4,84,1.4776180445308342,,3
C910,2007,Nacional,,,1,0,4,79,1.3526299406520772,,3
C910,2007,Nacional,,,2,0,4,80,1.4086066925369023,,3
C910,2008,Nacional,,,1,0,4,87,1.487724223125801,,3
C910,2008,Nacional,,,2,0,4,50,0.8793863571648795,,3
C910,2009,Nacional,,,1,0,4,70,1.1927499207247285,,3
C910,2009,Nacional,,,2,0,4,68,1.1942148020114793,,3
C910,2010,Nacional,,,1,0,4,74,1.2568308331174924,,3
C910,2010,Nacional,,,2,0,4,77,1.351008975612358,,3
C910,2011,Nacional,,,1,0,4,77,1.3065649288108767,,3
C910,2011,Nacional,,,2,0,4,82,1.4403185563089906,,3
C910,2012,Nacional,,,1,0,4,89,1.5149410636860796,,3
C910,2012,Nacional,,,2,0,4,75,1.3231501346702206,,3
C910,2013,Nacional,,,1,0,4,77,1.3198645441873509,,3
C910,2013,Nacional,,,2,0,4,70,1.2440414855845803,,3
C910,2014,Nacional,,,1,0,4,85,1.4708521234692107,,3
C910,2014,Nacional,,,2,0,4,71,1.2738995212649715,,3
C910,2015,Nacional,,,1,0,4,93,1.627661708190709,,3
C910,2015,Nacional,,,2,0,4,73,1.324951652877187,,3
C910,2016,Nacional,,,1,0,4,58,1.0282078178185932,,3
C910,2016,Nacional,,,2,0,4,64,1.176951753805232,,3
C910,2017,Nacional,,,1,0,4,74,1.329477608722523,,3
C910,2017,Nacional,,,2,0,4,57,1.0626130774113627,,3
C910,2018,Nacional,,,1,0,4,69,1.2546951054525775,,3
C910,2018,Nacional,,,2,0,4,73,1.377595021031913,,3
C910,2019,Nacional,,,1,0,4,57,1.0474617795897845,,3
C910,2019,Nacional,,,2,0,4,60,1.1440977806981933,,3
C910,2020,Nacional,,,1,0,4,63,1.1687045411035242,,3
C910,2020,Nacional,,,2,0,4,68,1.3085330401706174,,3
C910,2021,Nacional,,,1,0,4,61,1.140139179219412,,3
C910,2021,Nacional,,,2,0,4,47,0.911205010464317,,3
C910,2022,Nacional,,,1,0,4,55,1.0341831372866832,,3
C910,2022,Nacional,,,2,0,4,62,1.2093858485080373,,3
C910,2023,Nacional,,,1,0,4,58,1.0978914049110575,,3
C910,2023,Nacional,,,2,0,4,49,0.9623591862290722,,3
C910,2000,Nacional,,,1,5,9,125,2.0875519278542054,,3
C910,2000,Nacional,,,2,5,9,97,1.6716119957634115,,3
C910,2001,Nacional,,,1,5,9,125,2.093638571321138,,3
C910,2001,Nacional,,,2,5,9,80,1.3830974086114065,,3
C910,2002,Nacional,,,1,5,9,121,2.0369509638565777,,3
C910,2002,Nacional,,,2,5,9,81,1.4078494734295353,,3
C910,2003,Nacional,,,1,5,9,117,1.9801554574353737,,3
C910,2003,Nacional,,,2,5,9,87,1.5199209221831935,,3
C910,2004,Nacional,,,1,5,9,125,2.123571834234322,,3
C910,2004,Nacional,,,2,5,9,94,1.6471875061879053,,3
C910,2005,Nacional,,,1,5,9,127,2.160735956875113,,3
C910,2005,Nacional,,,2,5,9,105,1.8399202771305445,,3
C910,2006,Nacional,,,1,5,9,133,2.2622375570555873,,3
C910,2006,Nacional,,,2,5,9,72,1.2585111184213515,,3
C910,2007,Nacional,,,1,5,9,114,1.938132432589119,,3
C910,2007,Nacional,,,2,5,9,106,1.846828246715346,,3
C910,2008,Nacional,,,1,5,9,99,1.6842884638319469,,3
C910,2008,Nacional,,,2,5,9,103,1.792477719327922,,3
C910,2009,Nacional,,,1,5,9,122,2.081173618156159,,3
C910,2009,Nacional,,,2,5,9,97,1.691872957434046,,3
C910,2010,Nacional,,,1,5,9,111,1.901391767384759,,3
C910,2010,Nacional,,,2,5,9,100,1.751760168617427,,3
